num;Q-score;P-score;Z-score;RMSD;Nalgn;Nsse;Ngaps;Seq-%;Nmd;Nres-Q;Nsse-Q;Nres-T;Nsse-T;code
1;1;3.97;5.713;0;13;1;0;1;0;13;1;13;1;1ycr:B
2;0.4701;2.164;4.138;0.143;7;1;0;0.1429;0;13;1;8;1;7y8f:C
3;0.4701;2.164;4.138;0.143;7;1;0;0.1429;0;13;1;8;1;7y8g:C
4;0.4701;2.164;4.138;0.143;7;1;0;0.1429;0;13;1;8;1;7ymk:C
5;0.491;1.55;3.469;0.155;8;1;0;0.125;0;13;1;10;1;3e94:B
6;0.276;2.089;4.061;0.17;6;1;0;0;0;13;1;10;1;1bbr:I
7;0.3757;2.159;4.133;0.173;7;1;0;0.1429;0;13;1;10;1;1l2i:D
8;0.3449;2.089;4.061;0.179;6;1;0;0;0;13;1;8;1;6fkp:E
9;0.3414;2.155;4.129;0.179;7;1;0;0.1429;0;13;1;11;1;4wpf:E
10;0.4695;2.155;4.129;0.179;7;1;0;0.2857;0;13;1;8;1;4ofu:B
11;0.313;2.155;4.129;0.179;7;1;0;0.1429;0;13;1;12;1;4bea:B
12;0.2132;2.155;4.129;0.184;8;1;0;0.125;0;13;1;23;1;5fw5:C
13;0.3448;2.085;4.057;0.186;6;1;0;0;0;13;1;8;1;3uvn:D
14;0.3941;2.085;4.057;0.187;6;1;0;0.1667;0;13;1;7;1;2g5l:X
15;0.4458;3.108;5.016;0.19;8;1;0;0.25;0;13;1;11;1;2r05:B
16;0.1452;2.085;4.057;0.19;6;1;0;0;0;13;1;19;1;6pod:S
17;0.1452;2.085;4.057;0.19;6;1;0;0;0;13;1;19;1;6pp7:S
18;0.4171;3.108;5.016;0.192;7;1;0;0.1429;0;13;1;9;1;7tmj:A
19;0.3754;2.155;4.129;0.192;7;1;0;0.1429;0;13;1;10;1;5h1e:C
20;0.09878;2.155;4.129;0.194;7;1;0;0;0;13;1;38;1;5k0y:M
21;0.4596;2.085;4.057;0.194;6;1;0;0;0;13;1;6;1;4pxm:C
